Nom_vaccin;01-01-15;01-02-15;01-03-15;01-04-15;01-05-15;01-06-15;01-07-15;01-08-15;01-09-15;01-10-15;01-11-15;01-12-15;01-01-16;01-02-16;01-03-16;01-04-16;01-05-16;01-06-16;01-07-16;01-08-16;01-09-16;01-10-16;01-11-16;01-12-16;01-01-17;01-02-17;01-03-17;01-04-17;01-05-17;01-06-17;01-07-17;01-08-17;01-09-17;01-10-17;01-11-17;01-12-17;01-01-18;01-02-18;01-03-18;01-04-18;01-05-18;01-06-18;01-07-18;01-08-18;01-09-18;01-10-18;01-11-18;01-12-18;01-01-19;01-02-19;01-03-19;01-04-19;01-05-19;01-06-19;01-07-19;01-08-19;01-09-19;01-10-19;01-11-19;01-12-19;01-01-20;01-02-20;01-03-20;01-04-20;01-05-20;01-06-20;01-07-20;01-08-20;01-09-20;01-10-20;01-11-20;01-12-20;01-01-21;01-02-21;01-03-21;01-04-21;01-05-21;01-06-21;01-07-21;01-08-21;01-09-21;01-10-21;01-11-21;01-12-21;01-01-22;01-02-22;01-03-22;01-04-22;01-05-22;01-06-22;01-07-22;01-08-22;01-09-22;01-10-22;01-11-22;01-12-22;01-01-23;01-02-23;01-03-23;01-04-23;01-05-23;01-06-23;01-07-23;01-08-23;01-09-23;01-10-23;01-11-23;01-12-23;01-01-24;01-02-24;01-03-24;01-04-24;01-05-24;01-06-24
ROUVAX;89;120;129;99;128;225;182;109;139;111;107;121;80;106;96;122;116;143;139;87;137;107;120;112;92;105;121;104;145;120;96;108;125;138;107;86;70;68;34;4;0;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RUDIVAX;1;2;5;1;1;2;1;2;2;1;1;0;1;4;1;2;0;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TETRAVAC-ACELLULAIRE;36495;20752;13661;8933;4463;4739;2268;1281;2632;1275;1403;734;606;573;441;3136;10801;18878;19650;26122;44915;36327;33328;31590;40072;34786;22829;20185;44382;90434;110290;65464;78568;63619;45309;35592;44079;47028;48742;47683;41634;55574;57057;46510;92309;80034;54814;43106;51387;51575;54696;61197;61779;72131;74501;57521;115459;97967;59789;53352;55673;59362;41918;17071;39414;82792;77458;62812;127966;97401;62897;56836;54606;59717;67305;62341;57366;90218;75018;66252;107635;0;68791;57977;48111;49807;65355;56780;66326;77509;66084;63467;111353;86915;68496;59317;59911;59974;66971;56668;61227;83006;72530;69458;111851;96329;70436;55823;60180;62578;60724;66083;61073;83739
TRUMEMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;15;39;40;57;46;47;40;58;58;96;58;56;70;87;86;62;62;78;49;77;90;74
VACCIN BCG SSI;6816;4299;3329;1718;1259;1125;2648;3841;8630;8224;3694;5655;4531;2560;1570;653;420;328;194;160;161;105;72;91;88;59;64;30;44;41;63;38;40;42;32;24;61;19;25;14;38;34;12;10;33;74;23;8;18;7;4;5;6;9;15;7;17;11;3;11;5;5;4;9;7;5;2;1;20;1;3;0;1;1;2;3;1;1;1;4;44;85100;393;6;4;3;0;1;88;74;1;0;1;1;0;3;3;1;1;0;0;2;0;1;1;1;2;2;2;0;3;1;1;1
VACCIN DT POLIO MERIEUX;0;0;1;1;2;0;0;1;0;1;2;2;0;1;1;1;0;1;0;1;0;4;2;1;0;0;0;1;0;2;0;0;2;0;0;0;1;0;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN DTCOQ POLIO ACT-HIB(conditionnement);;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN DTP PASTEUR;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;2;0;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN GENHEVAC B PASTEUR;8234;8403;9535;8379;7289;10550;10461;9112;12864;11364;9030;9171;8571;9141;9334;8524;8561;10144;11394;13631;7680;1852;535;174;135;93;67;45;29;36;27;21;16;11;11;9;13;4;18;3;5;5;6;2;7;10;5;2;4;2;4;3;0;1;4;4;1;2;2;4;0;2;0;0;2;0;6;0;6;1;4;3;0;0;1;1;1;1;1;1;0;0;1;4;2;1;0;1;1;2;2;1;2;0;1;1;0;0;0;0;1;0;0;2;2;1;0;2;0;0;1;0;2;0
VACCIN TETANIQUE PASTEUR;7912;7884;10933;11714;11392;14557;12337;10524;12288;13307;13799;12530;10171;10355;11578;11394;12605;12148;11656;11342;12339;12600;11574;9573;8658;8990;11877;10239;10470;8024;4378;2589;2042;1652;1127;729;633;534;474;400;404;322;168;51;23;21;8;12;10;3;8;4;4;6;-1;4;2;3;3;2;2;4;1;0;1;1;1;0;2;1;3;0;3;0;1;4;0;1;1;3;1;1;3;1;1;1;0;3;0;3;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;;;;;;
