Nom_vaccin;01-01-15;01-02-15;01-03-15;01-04-15;01-05-15;01-06-15;01-07-15;01-08-15;01-09-15;01-10-15;01-11-15;01-12-15;01-01-16;01-02-16;01-03-16;01-04-16;01-05-16;01-06-16;01-07-16;01-08-16;01-09-16;01-10-16;01-11-16;01-12-16;01-01-17;01-02-17;01-03-17;01-04-17;01-05-17;01-06-17;01-07-17;01-08-17;01-09-17;01-10-17;01-11-17;01-12-17;01-01-18;01-02-18;01-03-18;01-04-18;01-05-18;01-06-18;01-07-18;01-08-18;01-09-18;01-10-18;01-11-18;01-12-18;01-01-19;01-02-19;01-03-19;01-04-19;01-05-19;01-06-19;01-07-19;01-08-19;01-09-19;01-10-19;01-11-19;01-12-19;01-01-20;01-02-20;01-03-20;01-04-20;01-05-20;01-06-20;01-07-20;01-08-20;01-09-20;01-10-20;01-11-20;01-12-20;01-01-21;01-02-21;01-03-21;01-04-21;01-05-21;01-06-21;01-07-21;01-08-21;01-09-21;01-10-21;01-11-21;01-12-21;01-01-22;01-02-22;01-03-22;01-04-22;01-05-22;01-06-22;01-07-22;01-08-22;01-09-22;01-10-22;01-11-22;01-12-22;01-01-23;01-02-23;01-03-23;01-04-23;01-05-23;01-06-23;01-07-23;01-08-23;01-09-23;01-10-23;01-11-23;01-12-23;01-01-24;01-02-24;01-03-24;01-04-24;01-05-24;01-06-24
FLUARIXTETRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;;;;;;;0;0;5;94847;75701;15312;1417;177;263;1625;36;13;21;41;6;2;6;9;3;1;2;0;5;0;2;4;2;8;2;12;596;98;48;18;5;2;;;;;;;;;;;;;0;0;3;106773;231270;105597;23994;2754;831;178;152;92;95;53;25;189220;373344;141962;23279;3824;501;260;41;71
FLUENZ TETRA SUSPENSION POUR PULVERISATION NASALE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;166;1;0;0;0;0;0;3;1;0;1;5;4;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;1;0;0;0;0;0
FLUVIRINE;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83774;8278;2571;803;684;853;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLUZONE HIGH DOSES QUADRIVALENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;133;215077;69800;86001;110439;111475;91849;116836;909;162;141;287;128;79;47;45;79;77;65;151;43;42;76;20;31;21;11;3;10;1;3;0;0;2;1;1;6;0;0;6;8;0;0;1
GARDASIL;25563;25887;28843;28262;23774;30507;25115;21552;44133;35980;28210;27982;24885;27760;29039;27919;26522;28190;24235;23729;42219;34327;29988;27792;27436;26568;29753;26785;28289;29384;26798;25471;44478;30733;38370;27912;35210;33875;38767;38070;37903;41744;40481;35659;59091;64716;52721;43640;52143;49668;54960;65153;58475;57791;60258;50619;85492;89231;66844;65432;70422;69546;54774;30997;47376;74375;66257;58325;93405;81174;63874;68693;2027;1114;468;176;88;79;86102;71482;122043;126168;130007;115475;89952;90764;113318;102957;119980;119154;99017;101778;174986;158733;144450;130207;123099;127982;160284;140033;139417;159452;132010;127822;196605;214608;159119;129557;144868;131940;138864;153068;133744;144878
GRIPGUARD;0;0;0;0;0;0;1;0;0;0;0;0;5600;6521;6275;6124;6870;7945;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVRIX;11046;8037;7311;5295;4432;9088;7983;3606;6041;5718;4416;3839;1314;1411;1469;1393;1366;1492;2922;1080;1282;1165;962;1078;1128;939;1083;748;1021;1414;1102;588;786;838;655;642;715;737;2160;2940;4050;10777;13735;8178;11263;14126;11296;11489;12607;7402;10824;9334;8464;12136;13627;10154;13698;13970;10835;12897;15904;11833;7798;1967;3776;7021;6388;4252;6457;5401;4072;4832;4498;3762;3956;3674;3719;6542;5646;3397;4373;5103;4967;4771;4702;5288;6484;6292;8049;8446;8803;7300;8172;7617;5309;7457;9423;9381;10664;8383;7756;17484;16343;10012;9779;7772;5545;7859;12350;12487;12821;15758;13307;16565
HBVAXPRO;1885;1768;1912;1605;1460;1961;2019;1617;2474;2004;1792;1601;0;0;1;1077;4930;8821;1616;2348;4949;4380;2378;6587;6324;4426;3607;2240;2198;2214;1769;1722;2289;1868;1118;539;472;329;5779;5240;3772;3576;3637;2994;4061;2751;1889;1369;1943;2243;2345;2207;1937;1092;1159;869;1234;1089;768;576;482;433;399;197;310;415;372;294;436;314;270;274;335;501;646;567;557;676;678;689;874;784;718;756;679;708;725;536;670;756;809;810;936;737;725;2028;1160;946;841;660;611;812;892;3020;5754;4835;2024;2802;2735;1493;1106;997;857;892
HEXYON;;;;;;;;;;;;;;;;;;;23936;23282;30773;29632;32521;32243;38040;34353;45475;39009;47574;50441;49064;48968;64443;65886;65596;61365;72573;66574;77698;71049;76383;77550;79776;69725;89287;94263;90927;81146;94489;80982;94434;90904;93741;86617;92936;83794;108964;110055;98601;96780;103954;89607;101320;88072;90430;107366;104758;84802;119120;108900;109589;104259;105656;94525;113266;98351;95219;110339;103817;95430;122105;111918;115865;123262;116293;108638;133093;104903;116641;114030;105660;104417;136199;122158;119155;112916;125453;104339;126013;101003;115168;128854;126530;124932;155529;141294;126104;112985;125414;114325;121894;119400;119511;114176
IMMUGRIP;5816;1408;737;413;222;210;119;110;132;103931;488017;126092;7722;3458;2094;475;304;349;77;63;118;257670;187766;32290;6081;1041;272;145;90;123;46;63;48;256910;197314;34197;5641;1410;911;172;92;198;49;53;15;46;50;52;34;7;16;7;4;3;16;7;11;9;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMOVAX POLIO;52;47;72;38;33;51;34;32;20;15;49;69;56;58;46;32;30;54;52;37;60;56;72;57;75;56;53;46;56;52;82;87;76;70;60;62;41;45;23;22;33;50;54;31;50;43;60;35;44;23;31;43;18;45;49;44;47;43;38;49;61;60;26;6;7;6;11;22;17;11;10;12;13;12;6;7;4;20;11;7;8;12;17;15;2;5;3;19;11;22;14;7;18;3;14;12;8;5;7;8;4;6;3;1;0;0;0;0;;;;;;
INFANRIX HEXA;179985;163789;202770;176019;164452;195249;175400;149841;218538;188770;197927;180630;173274;167719;188710;165864;173683;164343;125364;138386;176901;147500;147077;131598;141735;115229;138592;107180;122325;120569;109206;101051;126213;117203;105533;94275;106289;92858;104242;90716;93186;92792;89824;78360;96027;97784;88117;75838;85817;70828;81164;78135;77216;70315;73390;64988;82066;79190;69002;65811;70256;59805;63893;54693;56019;66269;61865;50071;69547;60873;59236;55567;55368;48508;57920;48546;46702;53953;48036;45456;56634;50663;47203;29163;41541;38814;49596;39560;44858;43545;38696;38481;47350;41460;40809;37806;41734;34355;40645;31916;34939;24273;10385;6104;5434;17043;20445;19729;23375;21380;21950;20338;19912;19291
INFANRIXQUINTA;5927;6748;6371;3315;1800;6031;7520;3729;3756;4725;7032;9934;11625;12019;10991;4481;2642;1678;1166;3186;6782;4891;6446;6784;7919;7201;9507;8205;9905;10317;9573;8745;12155;10416;9215;8477;10295;9313;9922;8037;7389;7762;6823;5423;8305;7089;5569;4106;4347;4071;4490;4541;4284;4350;4153;3284;5562;4692;3184;2972;3100;2941;2378;1363;2002;3478;2978;2485;4074;2962;2289;2092;2226;1967;2443;1962;1521;1367;996;1045;1485;942;761;600;1158;1217;1541;1381;1666;1621;1367;1377;2112;1694;1512;1417;1511;1399;1584;1343;1494;1759;1472;1502;1773;1719;1467;1276;1340;1242;1272;1330;1310;1459
INFANRIXTETRA;16060;18962;18536;11765;4671;4383;2330;1522;3177;1756;1596;977;774;735;536;280;265;239;207;156;368;236;135;137;165;224;389;371;415;447;363;251;505;251;121;98;118;134;104;111;115;129;111;69;136;99;77;64;77;81;71;63;73;65;71;50;92;95;51;49;62;44;46;7;25;51;50;39;93;46;34;26;38;38;45;43;38;57;28;30;56;48;51;35;32;33;25;16;31;39;24;24;42;36;25;24;40;30;22;14;23;40;38;19;35;14;22;13;19;19;19;22;21;13
INFLUSPLIT TETRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4508;405;80;17;6;19;4;6;2;1;3;1;1;1;0;1;0;1;3;3;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;;;;;;
INFLUVAC;17608;3886;2189;1107;519;556;426;310;352;392548;1895335;548527;39104;11182;3565;1226;758;540;320;827;8570;1919625;1491909;318493;64915;7891;2423;1028;768;937;279;321;2270;2145194;1749692;348894;61029;9028;3162;1331;750;659;386;322;326;10037;7341;1915;279;170;151;687;59;45;46;44;63;1383;1564;505;78;22;15;29;22;9;0;0;0;0;0;249;67;46;8;-2;3;9;4;2;2;164;809;152;60;19;8;4;0;0;1;0;3;232;542;252;32;12;6;3;0;3;0;0;1;244;323;138;23;8;3;1;0;1
INFLUVAC ENFANT;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;2;0;1;2;1;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFLUVAC TETRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;759;2199634;2087608;312204;25131;4089;4880;25177;1114;754;342;312;1398;1945254;2378594;477694;77511;19463;4269;2337;1266;1552;799;648;2324;3049816;1770126;219548;24041;7360;3302;1506;1049;806;415;380;477;830836;3131302;593224;81764;24069;8883;2243;2512;1483;696;815;884;1161203;2376222;971398;123475;15951;5507;1797;1085;1238;577;600;708;1182878;2091320;760411;138970;21412;2907;1064;639;559
MENINGITEC;1409;1082;930;701;583;706;510;263;452;289;942;191;165;151;158;95;66;54;36;23;39;29;18;21;18;9;10;9;13;13;13;7;26;17;9;8;6;12;14;10;12;7;17;2;13;9;9;7;5;3;10;5;2;4;2;3;1;1;3;3;6;2;1;1;0;2;1;2;4;0;2;3;1;2;1;0;1;1;0;1;0;;0;2;0;2;2;1;0;0;0;3;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0
MENJUGATE;0;0;0;0;0;0;0;0;0;870;2655;3729;4228;4984;6223;6034;7020;8418;7495;6569;10483;9301;8477;7581;8998;7573;8626;6760;7927;8668;7978;6719;10394;9431;7671;6262;7071;6879;7410;6195;6152;7054;6660;4980;6904;6724;5321;4280;4090;3448;4311;5610;4200;4256;4472;3468;4664;4386;3264;2833;3033;2682;2302;1557;2032;2997;2726;2277;2988;2453;2132;2018;1866;1760;2008;1778;1562;1881;1688;1446;1738;0;1535;1359;1303;1260;1538;1251;1351;1380;1298;1162;1407;1207;1171;1116;1278;1066;1156;987;991;1138;955;951;1105;1004;927;777;836;726;786;760;656;755
MENJUGATEKIT;3804;3319;3544;3022;2645;3324;2564;1922;3434;2110;6601;971;673;556;446;352;319;240;130;89;106;80;57;40;27;23;24;15;16;17;18;11;19;11;11;6;14;10;8;5;2;7;5;3;1;0;0;0;;;;;;;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MENQUADFI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;25;204;309;438;636;766;1252;1236;1726;2544;2924;2438;3985;4474;3930;3759;4362;4160;4275;5541;6689;8258
MENVEO;0;0;0;0;0;0;0;0;0;430;757;911;950;999;1030;969;1369;1347;1430;1077;687;771;1146;1182;2275;1098;1064;417;500;1225;492;97;652;1008;1363;1262;1597;1417;1187;510;279;222;138;77;93;409;557;311;473;1006;1177;1068;791;835;772;572;895;1117;1125;1376;1617;1451;803;307;367;568;556;468;593;551;458;562;553;484;588;500;491;587;594;484;553;1536;700;722;781;774;1142;877;1013;1126;834;740;904;969;1188;1184;1492;1268;1230;883;1389;1011;479;567;682;1024;955;1076;1151;1086;973;1397;1893;1371
M-M-RVAXPRO;6604;4345;6799;12094;8247;9105;8908;5787;7006;7244;266399;24159;17380;17216;18018;15541;16356;17007;13809;13127;20310;16672;15004;13245;14101;12337;14617;11687;13697;14291;12226;11251;16441;15874;13108;11134;13216;16901;19163;15883;14667;15655;14316;11383;16977;16882;13610;11279;4237;2810;14662;29349;14200;13634;12731;10191;15013;15586;10499;8699;10860;9946;9002;6397;8463;10869;8663;6088;8493;6440;5359;4720;0;0;0;0;1;0;2905;2600;3508;2956;2676;2410;2137;2182;2821;2076;2517;2540;1964;2177;3166;2595;2393;2125;2482;2150;2612;2050;2294;2579;2217;1977;2589;2407;2119;1884;2270;2115;2252;2205;2062;2321
MONOVAX;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;;;;;;;;;;;;;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MUTAGRIP PASTEUR;0;0;0;0;1;1;0;0;0;13;13;3;1;0;0;0;0;0;0;0;0;5;2;2;;;;;;;0;0;0;6;1;0;2;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;0;0;0;0;3;0;;;;;;;0;0;0;623;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEISVAC;59649;55582;63430;57813;49847;69064;57378;43633;81009;68851;199129;73690;67634;66840;67824;58944;63559;67760;59196;53796;85828;73185;65394;58584;67561;58692;71022;58830;75684;90440;90780;81817;124826;126876;111201;98842;118701;120273;134525;123776;126392;138733;136628;109679;152855;163044;139988;122613;116889;101796;139595;181077;141956;137078;142355;117939;163247;168039;136172;133722;141701;129314;127515;103762;117168;147102;137184;108358;156631;144490;135627;130958;130419;119324;141112;121949;111193;131449;116650;103712;137184;0;122980;117308;115308;111079;139468;113760;129572;128110;111988;106884;141134;130568;124226;118863;133211;116593;134092;108512;120397;127313;112668;101592;124793;126752;114796;105188;116180;107946;114669;110497;100849;94569
NIMENRIX;0;0;0;0;0;0;0;0;141;258;331;355;365;462;352;441;662;617;551;473;442;482;621;601;1453;994;1682;1589;2688;2349;3197;1730;1715;1695;1795;1724;2076;1911;2305;2801;3607;4521;4629;1868;2663;3449;3372;3254;4001;3021;3313;5208;3901;5105;3968;1862;2897;3247;2940;3377;3880;3368;2275;904;1452;2576;2230;1458;2621;2444;1977;2001;1753;1797;2136;1948;1856;2709;2077;1531;2243;130162;2512;2254;2557;2472;3128;2787;3255;3745;2983;2395;4034;4126;4040;3927;4313;4174;4406;3748;5107;6381;4658;3439;5122;5700;4827;4748;5127;4905;5098;8453;16351;21005
PANENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PENTACOQ;0;1;0;0;0;1;0;0;0;0;2;0;;;;;;;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;;;;;;;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
