DR19;annee;0-4ansH;0-4ansF;5-9ansH;5-9ansF;10-14ansH;10-14ansF;15-19ansH;15-19ansF;20-24ansH;20-24ansF;25-29ansH;25-29ansF;30-34ansH;30-34ansF;35-39ansH;35-39ansF;40-44ansH;40-44ansF;45-49ansH;45-49ansF;50-54ansH;50-54ansF;55-59ansH;55-59ansF;60-64ansH;60-64ansF;65-69ansH;65-69ansF;70-74ansH;70-74ansF;75-79ansH;75-79ansF;80-84ansH;80-84ansF;85-89ansH;85-89ansF;90-94ansH;90-94ansF;95+H;95+F;Y_LT5;Y5-9;Y10-14;Y15-19;Y20-24;Y25-29;Y30-34;Y35-39;Y40-44;Y45-49;Y50-54;Y55-59;Y60-64;Y65-69;Y70-74;Y75-79;Y80-84;Y85-89;YGE90
11;2007;9232,094553;8916,833103;10185,51522;9768,376628;10357,30073;9493,555489;10038,35384;9654,187774;8293,907771;7816,133315;8443,106011;8590,904755;9960,390707;10198,98007;11510,36402;11711,69311;11578,70209;12067,55315;11655,39891;11582,42672;11509,30999;12125,35082;12305,70784;12776,07159;10444,01739;11026,67784;8227,282878;9002,792012;7739,659497;9539,499744;7315,744858;9260,283404;4974,535519;7827,238933;2347,040221;4434,072736;820,89546;1795,23794;172,426725;717,9718561;18148,92766;19953,89185;19850,85622;19692,54161;16110,04109;17034,01077;20159,37078;23222,05713;23646,25524;23237,82563;23634,66081;25081,77943;21470,69523;17230,07489;17279,15924;16576,02826;12801,77445;6781,112957;3506,531981
12;2007;7184,80106;7129,162885;7537,117216;7002,756223;7407,170295;7093,427895;7427,596349;6715,551977;6304,455421;5676,282289;6821,59328;6377,719367;7661,071779;7704,10645;9065,015011;8816,892743;9950,833378;9230,959275;9562,014539;9347,955134;9565,224972;9405,276371;10087,26473;9817,115952;7682,780687;7958,312354;6804,099506;7819,516504;7145,720868;8338,827691;6405,915955;8180,402628;4832,576354;7042,849286;1912,521039;3782,060554;652,519144;1888,574104;207,6458265;700,9411071;14313,96395;14539,87344;14500,59819;14143,14833;11980,73771;13199,31265;15365,17823;17881,90775;19181,79265;18909,96967;18970,50134;19904,38068;15641,09304;14623,61601;15484,54856;14586,31858;11875,42564;5694,581593;3449,680182
13;2007;58593,48365;55854,44166;59469,01766;57402,59171;61491,99325;57800,86703;66776,82317;63387,54263;65072,47842;67637,87087;57722,85547;61114,50978;60604,95991;64029,46739;66039,08521;70265,79963;66679,39826;72722,15445;63860,44209;69989,02006;61710,44433;67956,25826;60844,79669;67022,75301;49813,36214;54545,00616;39388,08812;43797,25357;34685,8272;43678,06172;29043,41925;41783,34408;19991,69969;34711,11179;9199,091718;19081,78713;2740,613108;8490,146896;549,3823613;2947,362684;114447,9253;116871,6094;119292,8603;130164,3658;132710,3493;118837,3653;124634,4273;136304,8848;139401,5527;133849,4622;129666,7026;127867,5497;104358,3683;83185,34169;78363,88892;70826,76333;54702,81148;28280,87885;14727,50505
14;2007;21247,70106;20362,17417;21931,55257;20694,17252;20788,84344;20055,83219;23301,61722;23562,59873;22388,53415;22811,50486;19580,07203;19786,43813;21273,62379;21864,28876;22749,88777;22559,20465;22556,28956;23162,52402;22138,19785;23528,67038;23374,30233;24083,70362;22562,91975;23950,5355;15491,55954;16873,20539;12277,4003;14728,52566;11833,33908;15457,76336;9598,112133;14571,86227;6504,029275;12207,7903;2631,675442;6031,759775;942,814756;2769,133915;209,9273387;1072,775496;41609,87523;42625,72509;40844,67563;46864,21595;45200,03901;39366,51016;43137,91255;45309,09242;45718,81358;45666,86823;47458,00595;46513,45525;32364,76493;27005,92596;27291,10244;24169,9744;18711,81958;8663,435217;4994,651506
15;2007;3693,718324;3526,856718;3745,268953;3371,834586;3574,708656;3442,991837;4009,874405;3664,073163;3661,494967;3094,400655;3614,478942;3479,423499;4318,249291;4095,426498;4618,457974;4798,281842;5463,236122;5035,564071;5570,853498;5551,666093;5775,671527;5542,383215;5952,165299;5561,230181;4130,031005;4247,21707;3845,548618;4085,043623;3864,712089;4812,011338;3232,011265;4441,371484;2411,687273;3641,174188;1130,338889;2195,162987;338,5548583;897,3478066;81,33913885;403,5951898;7220,575042;7117,103539;7017,700493;7673,947568;6755,895622;7093,902441;8413,675789;9416,739816;10498,80019;11122,51959;11318,05474;11513,39548;8377,248075;7930,592241;8676,723427;7673,382749;6052,861461;3325,501876;1720,836994
16;2007;9188,149045;8919,290861;9694,576897;9208,168366;9956,421727;9881,585582;10342,77788;9476,683345;9083,35764;7969,13772;8775,69404;8628,581388;10025,07672;10031,1524;11418,34245;11825,25642;12423,62922;12829,21177;12274,1412;12537,56557;12757,71681;13339,7638;12896,14432;12984,81322;9656,940674;10084,4593;7882,694871;8991,430503;8186,588969;9328,116457;6806,889039;9182,845983;4581,858;7833,448763;2276,212866;4183,011377;662,7873478;2034,001505;227,5194414;798,3621103;18107,43991;18902,74526;19838,00731;19819,46123;17052,49536;17404,27543;20056,22912;23243,59887;25252,84099;24811,70677;26097,48061;25880,95754;19741,39997;16874,12537;17514,70543;15989,73502;12415,30676;6459,224243;3722,670405
17;2007;16147,85666;14772,02254;17319,92162;16630,77487;17131,14613;16006,40992;18245,48679;16749,06746;16314,62346;14366,58611;14123,20852;14795,1345;16765,96609;17324,5356;19577,95189;20443,19195;19859,6942;20890,56242;20238,30671;21145,75445;20220,08254;21735,31976;21421,64614;22935,47057;18148,94015;19487,55957;15049,78061;16615,48056;14230,11903;17141,86707;12359,63987;16849,65587;8830,084336;13606,2584;3891,19123;7443,575323;1181,680989;3263,334005;387,7838645;1483,328928;30919,8792;33950,69649;33137,55605;34994,55425;30681,20957;28918,34302;34090,50169;40021,14384;40750,25662;41384,06116;41955,4023;44357,11671;37636,49972;31665,26117;31371,9861;29209,29574;22436,34274;11334,76655;6316,127787
18;2007;8386,473122;8521,36206;9183,233896;8346,504688;8945,843715;8624,308633;9272,250735;8732,482355;8350,453858;7408,378907;7950,287281;7933,461272;9106,233531;9244,237363;10325,42712;10318,36007;10781,60867;11120,20538;11232,57308;11116,0204;11027,12573;11339,5992;11170,18399;11602,15039;9131,891019;9455,00415;7615,510756;8419,978884;7226,858163;8896,455875;6045,462229;7998,41414;4123,308299;6728,465992;1731,355827;3651,605942;610,7485275;1695,953497;186,8422351;660,9201778;16907,83518;17529,73858;17570,15235;18004,73309;15758,83277;15883,74855;18350,47089;20643,78719;21901,81405;22348,59348;22366,72493;22772,33438;18586,89517;16035,48964;16123,31404;14043,87637;10851,77429;5382,961769;3154,464437
19;2007;5859,68073;5716,864161;6220,680128;5741,129727;5769,733606;5887,50158;7117,347534;6004,788218;6397,426052;5408,734194;6180,369858;5803,709124;6938,463105;6776,778865;7829,048742;7355,374964;8346,725138;8101,005565;8298,084378;8406,28405;8656,40103;8683,411364;8698,813378;8862,948183;6739,997393;7383,104725;6078,35041;6744,180056;6227,845592;7698,323485;5252,376111;7608,805671;4061,893907;6535,235871;1853,512736;3521,002872;493,9910039;1551,920257;149,4343431;767,8816656;11576,54489;11961,80986;11657,23519;13122,13575;11806,16025;11984,07898;13715,24197;15184,42371;16447,7307;16704,36843;17339,81239;17561,76156;14123,10212;12822,53047;13926,16908;12861,18178;10597,12978;5374,515608;2963,22727
2A;2007;3557,497948;3303,33599;3751,024564;3496,757323;3948,448001;3649,445771;4076,313103;3766,203405;3445,142596;3388,371807;3642,798619;3910,126499;3914,580532;4236,644568;4888,791408;5214,683073;5096,441137;5561,14305;4994,273324;5197,952774;4927,148651;5030,230491;4834,596697;4729,565488;4009,945808;4258,709396;3716,004865;3977,731907;3101,832382;3740,465218;2698,200331;3382,34926;1606,561627;2679,797956;791,4449806;1414,303239;261,5104818;698,8699819;144,1118879;316,7021348;6860,833938;7247,781887;7597,893772;7842,516508;6833,514403;7552,925118;8151,2251;10103,47448;10657,58419;10192,2261;9957,379142;9564,162185;8268,655204;7693,736772;6842,2976;6080,549591;4286,359583;2205,74822;1421,194486
