DR19;annee;0-4ansH;0-4ansF;5-9ansH;5-9ansF;10-14ansH;10-14ansF;15-19ansH;15-19ansF;20-24ansH;20-24ansF;25-29ansH;25-29ansF;30-34ansH;30-34ansF;35-39ansH;35-39ansF;40-44ansH;40-44ansF;45-49ansH;45-49ansF;50-54ansH;50-54ansF;55-59ansH;55-59ansF;60-64ansH;60-64ansF;65-69ansH;65-69ansF;70-74ansH;70-74ansF;75-79ansH;75-79ansF;80-84ansH;80-84ansF;85-89ansH;85-89ansF;90-94ansH;90-94ansF;95+H;95+F;Y_LT5;Y5-9;Y10-14;Y15-19;Y20-24;Y25-29;Y30-34;Y35-39;Y40-44;Y45-49;Y50-54;Y55-59;Y60-64;Y65-69;Y70-74;Y75-79;Y80-84;Y85-89;YGE90
56;2008;;;21537,01246;20682,3282;22205,32727;20558,60711;21429,7095;20174,60241;20965,60876;19184,72163;19334,6783;17144,59789;19032,75739;18015,5925;21440,02119;21592,21666;24192,68583;23576,28138;24443,64597;24432,02626;24906,83461;25408,62906;23970,89729;24867,17497;24742,93622;25705,19204;18384,95122;19859,13793;15527,43447;18307,64151;15036,39652;19413,75928;11503,27188;17288,56361;7260,022924;13913,82992;2723,01142;6616,379959;235,8200436;1130,185395;0;42219,34066;42763,93438;41604,31191;40150,33039;36479,27619;37048,34989;43032,23785;47768,96721;48875,67223;50315,46367;48838,07226;50448,12826;38244,08915;33835,07598;34450,1558;28791,83549;21173,85284;10705,39682
57;2008;;;30041,10739;29199,72327;30591,37805;29551,57075;31877,38546;29521,33054;34777,64208;31424,93528;34927,19162;32881,05288;33173,7871;32204,61014;34077,17408;32494,7972;37119,47379;36859,57368;39149,41326;39489,08727;38417,36409;39740,46735;37380,35863;38380,04675;33717,55908;33936,42364;23198,0432;24395,43772;20827,98508;24003,97089;18667,61732;23428,56157;14548,79471;21188,15289;8037,131446;15037,09098;2705,947373;7029,386933;180,26087;956,6162027;0;59240,83066;60142,9488;61398,716;66202,57736;67808,2445;65378,39724;66571,97128;73979,04747;78638,50053;78157,83144;75760,40538;67653,98272;47593,48092;44831,95597;42096,17889;35736,9476;23074,22243;10872,21138
58;2008;;;5535,937052;5328,776428;5896,219143;5512,699458;5895,861567;5506,853145;5885,097841;5657,012012;5440,818951;4696,099716;5015,611391;5286,040224;5763,009443;5652,294061;6435,276098;6638,214698;7180,140755;7360,687404;7467,1382;7790,066404;8366,280635;8493,256308;8778,498023;8694,719654;6757,939021;6933,317276;5732,830415;6328,912269;5460,352721;6789,959772;4305,192485;6752,753395;3038,045693;5564,187057;1340,210923;2882,489918;135,8346251;550,6586062;0;10864,71348;11408,9186;11402,71471;11542,10985;10136,91867;10301,65162;11415,3035;13073,4908;14540,82816;15257,2046;16859,53694;17473,21768;13691,2563;12061,74268;12250,31249;11057,94588;8602,23275;4909,194072
59;2008;;;89479,07333;85138,15053;89171,10436;83766,06381;87130,7928;82814,14292;94862,26277;93219,48047;94789,78355;96009,10919;84718,0422;86387,02561;85661,9364;87292,32041;88024,02046;87902,00554;84658,25805;87864,5746;83382,32904;86937,16607;80588,67576;87249,56532;77396,39128;82765,36162;50619,96166;55704,78668;38741,66463;47897,69427;35969,9508;52150,42358;28502,63427;48712,02677;17991,54341;37513,15962;6395,288565;16662,2869;499,6195136;2576,672641;0;174617,2239;172937,1682;169944,9357;188081,7432;190798,8927;171105,0678;172954,2568;175926,026;172522,8327;170319,4951;167838,2411;160161,7529;106324,7483;86639,3589;88120,37438;77214,66104;55504,70303;26133,86762
60;2008;;;27790,03373;26999,62136;28221,81327;27068,93721;27622,0365;25698,02796;27969,47968;25635,9801;24985,9333;23860,31317;25208,49984;25123,76738;27189,65474;27786,12798;29697,82825;29520,0149;29457,80075;29685,26862;28268,41185;28854,97928;26910,80424;27686,66434;26347,67478;25891,07514;17687,98902;17216,10632;12697,13192;14253,72893;11506,18437;14418,40011;8605,178161;12830,30692;5559,098467;9482,065727;2091,90656;4683,003414;219,8826162;947,9787485;0;54789,65509;55290,75048;53320,06446;53605,45978;48846,24647;50332,26722;54975,78272;59217,84315;59143,06937;57123,39113;54597,46858;52238,74992;34904,09534;26950,86085;25924,58448;21435,48508;15041,16419;7942,771339
61;2008;;;8698,024972;8104,200853;8943,241117;8729,569504;8890,976853;8491,107164;8845,070142;8264,337219;7430,805698;6994,950214;7480,374307;7423,813817;8276,794645;8146,734728;9450,523999;9312,207076;9986,238602;9933,773367;10217,47586;10188,26459;10148,00114;10276,59594;10558,9962;10492,8301;7770,357247;8144,12914;6262,053148;7289,61838;6504,385647;8082,218318;5239,452333;7432,512072;3581,721494;6136,608226;1561,949197;3247,759246;146,8221083;599,7309899;0;16802,22583;17672,81062;17382,08402;17109,40736;14425,75591;14904,18812;16423,52937;18762,73108;19920,01197;20405,74045;20424,59708;21051,8263;15914,48639;13551,67153;14586,60397;12671,96441;9718,32972;5556,261541
62;2008;;;49701,82682;47627,4869;50788,96035;48351,60857;48561,07638;46603,47706;50916,44212;48247,33353;46444,43282;45553,222;44165,99603;44666,81342;46406,85179;47427,6402;50061,67648;50181,49101;49889,66376;50134,21401;49992,08881;51106,62137;49241,44418;50396,93654;46538,76974;48996,17379;30532,27953;33711,02321;23147,33973;29297,81015;22208,06775;32999,3386;17852,77316;30717,27504;11121,27017;23085,50399;4369,678451;10914,90859;232,111478;1587,148119;0;97329,31372;99140,56892;95164,55344;99163,77565;91997,65482;88832,80945;93834,49199;100243,1675;100023,8778;101098,7102;99638,38072;95534,94353;64243,30274;52445,14988;55207,40635;48570,0482;34206,77416;17103,84664
63;2008;;;16990,56326;16844,42521;17537,01251;16456,35864;17491,84589;16903,35048;19844,27938;19899,15868;20746,05574;20699,9963;18810,27695;17915,26148;19891,19813;19640,42404;21656,49821;21770,97407;21549,81128;21774,44153;21625,08492;22237,7914;21956,7271;22746,15775;22388,41342;23160,65793;16313,97577;17440,77887;12665,56042;14235,74454;11599,70546;14705,2311;9107,886768;14270,03049;6184,683926;11695,92915;2620,366724;5691,145443;208,8386322;1093,437352;0;33834,98847;33993,37115;34395,19637;39743,43806;41446,05204;36725,53843;39531,62217;43427,47228;43324,25281;43862,87632;44702,88485;45549,07135;33754,75464;26901,30496;26304,93656;23377,91726;17880,61308;9613,788151
64;2008;;;16746,54322;16373,4988;18347,44307;17028,31174;18964,20513;18005,19755;19414,10616;18386,6262;18130,50386;17044,85825;17858,87516;16995,71311;19365,00062;19488,11535;21883,2953;22283,8403;22660,92166;24037,70315;22741,89523;24148,23927;22113,69292;23125,04973;21571,81328;22978,37214;16175,85251;18399,01545;14492,82621;16443,95285;13648,72616;17091,35388;11220,75836;15979,6333;7347,795762;13637,69565;3344,166797;6845,549347;295,5199148;1384,433773;0;33120,04202;35375,75481;36969,40268;37800,73236;35175,36211;34854,58827;38853,11597;44167,1356;46698,62481;46890,1345;45238,74265;44550,18542;34574,86796;30936,77906;30740,08004;27200,39166;20985,49141;11869,66983
65;2008;;;5839,319146;5389,645085;6119,86928;5923,455292;6045,313517;6042,497277;6576,272414;5636,841619;5724,809586;5071,02628;5282,870112;5191,107281;6120,1662;6486,329707;7361,571588;7438,202157;8011,066179;8185,803671;7959,383595;8426,089468;7979,559763;8682,127967;8728,518438;8781,805688;6574,928681;6922,242038;5359,539288;6424,604058;5599,002332;6848,642398;4516,78673;6432,253204;2979,901555;5251,203203;1314,291339;2797,487237;143,1696647;640,6048402;0;11228,96423;12043,32457;12087,81079;12213,11403;10795,83587;10473,97739;12606,49591;14799,77375;16196,86985;16385,47306;16661,68773;17510,32413;13497,17072;11784,14335;12447,64473;10949,03993;8231,104758;4895,553081
66;2008;;;12046,03679;11780,19124;13045,68794;12385,12744;13216,67489;11919,82659;12612,80403;11774,48778;10890,28997;11432,46362;11145,33631;11535,47656;12110,78921;13278,92773;14173,55276;14973,02326;14689,31992;15737,33428;13773,75503;15219,61164;13310,89768;14936,37067;14655,25991;16291,3894;12560,194;14148,52256;10389,71058;12158,15845;10320,0755;12345,63368;8716,574928;11958,21813;5821,674515;9461,093615;2649,780253;4975,159865;255,7256217;950,6418524;0;23826,22803;25430,81538;25136,50148;24387,29181;22322,75359;22680,81287;25389,71694;29146,57602;30426,6542;28993,36667;28247,26835;30946,64931;26708,71656;22547,86903;22665,70918;20674,79306;15282,76813;8831,307592
67;2008;;;32894,79663;31464,3404;33555,09635;31999,86809;33647,88206;32404,02463;36139,76251;36321,10494;37016,48477;38643,66974;35610,09955;36185,78529;37287,87128;37019,42552;40336,97406;39901,27441;40579,55726;40746,87101;38924,91432;39734,26606;37564,08852;37723,16138;33847,22967;33665,15246;23521,74859;23830,91395;20584,14289;22704,95938;17792,76482;22227,89597;12932,87615;19670,43904;7398,12706;15678,98159;3158,929451;7879,80031;241,0229692;1155,351259;0;64359,13703;65554,96444;66051,90669;72460,86745;75660,15451;71795,88484;74307,2968;80238,24847;81326,42827;78659,18038;75287,2499;67512,38213;47352,66254;43289,10227;40020,66079;32603,31519;23077,10865;12435,10399
68;2008;;;23322,59415;22155,02044;23918,88745;23010,14082;23106,96067;22383,70151;23526,98685;21895,13824;22109,70865;21442,22104;22809,20306;22994,72866;24664,10815;24879,48145;27902,24701;27529,84616;28375,52439;28210,27064;27001,15229;27424,04377;25816,95294;26332,70196;24381,31312;23774,33681;17311,8844;17587,49462;15009,78333;16108,19232;12946,91571;15579,25376;9587,74888;14743,56892;5563,761764;11426,52599;2007,024943;5442,625439;176,4869686;791,4538244;0;45477,61459;46929,02827;45490,66218;45422,12509;43551,92969;45803,93172;49543,5896;55432,09317;56585,79503;54425,19606;52149,6549;48155,64993;34899,37902;31117,97565;28526,16947;24331,3178;16990,28775;8417,591175
69;2008;;;56061,65525;53033,77045;52864,49881;51062,41061;53298,90056;51808,17735;59228,82228;61200,40477;63925,97889;69342,88961;59609,93891;61652,75302;58714,48388;58167,92239;58294,11681;59143,61463;56638,70488;58278,72722;51889,62453;56018,32376;47490,39105;52993,56121;47498,62666;51577,00803;38106,62088;41228,53087;28694,61916;33018,41262;25831,1204;33768,77404;21184,27065;31960,75338;13610,476;24841,03805;5757,936982;12569,66838;541,3818747;2680,711342;0;109095,4257;103926,9094;105107,0779;120429,2271;133268,8685;121262,6919;116882,4063;117437,7314;114917,4321;107907,9483;100483,9523;99075,63469;79335,15175;61713,03178;59599,89444;53145,02403;38451,51405;21549,69858
70;2008;;;7433,240015;6959,228596;7615,506842;7184,740512;7332,06709;7167,042402;7361,780951;6466,106007;6291,605315;5750,712995;6541,580942;6285,555799;7283,406837;7551,105725;8368,879613;8212,516425;8898,706672;8265,638175;8326,195288;8330,257505;8174,527928;8172,273766;8664,935127;8535,028256;6161,768328;6221,94033;5122,443268;5385,018991;4630,297358;5784,761326;3788,392793;5407,30681;2459,412817;4149,207069;979,6797271;2058,457984;85,26370964;434,8283911;0;14392,46861;14800,24735;14499,10949;13827,88696;12042,31831;12827,13674;14834,51256;16581,39604;17164,34485;16656,45279;16346,80169;17199,96338;12383,70866;10507,46226;10415,05868;9195,699603;6608,619886;3558,229812
71;2008;;;15343,20614;14605,91227;16150,37896;15356,71876;16038,95293;14808,66727;16544,10617;14521,18322;13681,55515;12627,2197;13941,59422;13893,0135;15959,61432;15800,41819;18306,73586;18370,15622;19043,25572;19059,33148;19409,08954;19446,45617;19595,81808;19890,94812;19767,92072;20466,8632;15857,31911;16692,01884;12782,20428;14269,45837;11928,17073;14986,86766;10125,66251;14488,20452;6937,481939;11792,66877;2896,368277;6244,840128;284,3805176;1255,999575;0;29949,11841;31507,09772;30847,6202;31065,28939;26308,77485;27834,60772;31760,03251;36676,89208;38102,5872;38855,54571;39486,7662;40234,78392;32549,33795;27051,66265;26915,03839;24613,86703;18730,15071;10681,5885
72;2008;;;18337,40789;17486,56327;17840,52359;17393,50168;17519,18585;16853,54489;17518,95958;16610,13612;16242,38374;15163,92443;15737,52467;15752,26839;17878,06531;17449,34376;18770,10581;19168,98519;19624,84152;19292,86377;19182,43586;19368,16489;18449,53284;18855,07448;18066,662;18521,08846;13207,46167;13932,47121;11053,69359;12851,74672;10697,38017;13271,62533;8959,862743;12181,53621;6075,586606;10000,52403;2604,256413;5461,977589;241,6512855;1208,196506;0;35823,97116;35234,02527;34372,73074;34129,0957;31406,30817;31489,79306;35327,40907;37939,091;38917,70529;38550,60075;37304,60732;36587,75046;27139,93288;23905,44031;23969,0055;21141,39895;16076,11064;9516,081794
73;2008;;;12618,46035;12171,50963;13098,49345;12298,37432;12930,78218;11871,64439;13128,83774;11932,55086;12452,06156;11446,5587;12148,71194;11884,58071;13941,16365;13304,77029;14985,51884;14475,23636;15126,52756;15369,21374;14646,11688;14625,12175;13628,63199;14111,49389;13321,73107;13629,01052;9994,183576;10521,85555;7775,27801;8790,023184;7172,230337;8760,365603;5845,137342;8146,224033;3652,220525;6622,041717;1470,916874;3384,077166;130,3400265;597,2563739;0;24789,96998;25396,86777;24802,42657;25061,3886;23898,62026;24033,29265;27245,93394;29460,7552;30495,7413;29271,23863;27740,12588;26950,74159;20516,03913;16565,30119;15932,59594;13991,36138;10274,26224;5582,59044
74;2008;;;23803,43406;22946,13963;24480,73766;22996,08355;23818,74572;22127,89497;22570,98253;20098,73748;20671,19559;19457,04427;23378,96099;23339,66356;25847,43318;26036,83062;28631,18527;28328,54188;28592,45008;28485,60334;24740,23463;25782,876;22832,84803;23885,96228;22251,0492;22849,39953;17030,52991;18111,09552;12772,63814;13661,85936;10374,40703;12899,57067;7861,740952;11383,77784;5452,494956;9040,513495;2030,489318;4680,130885;199,2579282;891,6848707;0;46749,57369;47476,82121;45946,64069;42669,72001;40128,23986;46718,62455;51884,2638;56959,72715;57078,05342;50523,11063;46718,81031;45100,44873;35141,62543;26434,4975;23273,9777;19245,51879;14493,00845;7801,563002
75;2008;;;58545,42166;56114,53702;52142,6779;49757,775;50022,23392;48996,9105;60751,91795;67311,1907;86549,46902;102670,2632;105424,5277;113410,6875;99135,85575;97525,32194;85351,70077;83382,18985;73943,12172;77324,97263;65965,49062;72204,44833;62151,76365;71303,47891;64101,61792;73996,87682;48942,71275;56894,16485;34136,99168;42546,20509;27142,33691;39390,50272;23450,16955;38258,15231;16352,93199;32888,32716;7677,825412;18242,27019;1008,277354;3885,330009;0;114659,9587;101900,4529;99019,14442;128063,1087;189219,7322;218835,2152;196661,1777;168733,8906;151268,0944;138169,939;133455,2426;138098,4947;105836,8776;76683,19677;66532,83963;61708,32186;49241,25915;30813,70297
76;2008;;;39517,49234;37617,34995;40223,34603;38616,76259;39526,08437;38851,35043;43657,51211;42062,18863;42108,80059;42317,77;36903,64325;38260,77895;39303,04572;39664,55542;41573,80408;42890,56109;41457,52431;43261,16038;42058,65389;44696,33019;41899,17988;43505,01095;39827,73365;41993,71909;28131,57231;30340,26305;21495,0041;26414,67781;19985,2533;27739,22348;16308,15041;25755,78518;10733,03032;20041,48028;4421,59344;10398,2977;340,8664406;1904,101167;0;77134,84229;78840,10862;78377,4348;85719,70074;84426,57059;75164,4222;78967,60114;84464,36517;84718,68469;86754,98408;85404,19083;81821,45274;58471,83536;47909,68191;47724,47678;42063,93559;30774,5106;17064,85875
77;2008;;;47187,19719;45639,00365;48096,91637;45804,30346;45457,91841;44494,89484;46555,82232;44728,36821;42701,59915;43323,12694;41653,48243;43317,8097;45404,3385;47662,0579;48148,12466;50676,34288;48426,84808;49587,02456;45859,0678;46768,88274;43097,37704;44919,97247;40571,98096;40493,72745;27014,73304;26769,95218;18415,35885;19843,81112;15386,49781;19262,17056;11381,09033;16954,51278;7336,5064;12954,37604;3213,058094;7115,184018;320,9151316;1602,314017;0;92826,20084;93901,21983;89952,81325;91284,19053;86024,72609;84971,29213;93066,3964;98824,46754;98013,87264;92627,95054;88017,34951;81065,70841;53784,68522;38259,16997;34648,66837;28335,60311;20290,88244;12251,47126
78;2008;;;49749,37018;48526,17632;50322,05374;47362,3814;49091,92011;46523,61877;47538,81913;45818,34367;42473,78428;43601,36896;44739,99123;45925,16672;49172,76523;48874,6596;50730,02565;52287,21726;51165,90765;53868,69903;48164,09723;51286,75743;44024,23489;48308,97987;44174,42773;46387,33012;32101,10481;32570,3089;23187,8261;25207,53356;19338,27286;23713,94413;14843,32887;20990,22471;9272,603093;15456,64926;3757,815999;8601,210494;433,3409728;2001,018967;0;98275,5465;97684,43514;95615,53888;93357,1628;86075,15324;90665,15795;98047,42483;103017,2429;105034,6067;99450,85466;92333,21476;90561,75785;64671,41371;48395,35966;43052,21699;35833,55358;24729,25235;14793,38643
79;2008;;;10922,36574;10463,01308;11283,13607;10721,70475;10707,47508;10114,10496;10593,81803;9345,011227;9840,607318;9070,018684;10020,43256;9524,853448;10932,98923;11112,01852;12319,91876;12530,24323;12988,5689;12997,26663;13021,11015;13018,68405;12523,16066;12871,4511;12579,41462;12706,67548;9122,639571;9481,120135;7974,689181;8369,056169;7712,585821;9445,305281;6759,530707;8631,211645;4741,996921;6845,081941;1882,664735;3755,027894;211,3975754;901,2008579;0;21385,37882;22004,84082;20821,58004;19938,82926;18910,626;19545,28601;22045,00775;24850,16199;25985,83553;26039,7942;25394,61176;25286,0901;18603,75971;16343,74535;17157,8911;15390,74235;11587,07886;6750,291062
80;2008;;;17847,01982;16922,94678;18301,54927;17333,65141;17578,87799;17187,81589;19598,84256;19130,42871;19145,86589;19129,05081;17249,40284;17193,3334;18172,93507;18638,77505;19756,94843;19540,50366;19536,04603;19478,78227;19088,93463;19734,76721;18796,55928;19037,66231;18475,18681;19241,14838;13009,97605;14012,03915;9817,009662;11799,75175;9365,371613;12427,77657;7911,188857;11569,05742;5328,802305;9200,301691;2034,357853;4417,406017;201,8304298;679,1278546;0;34769,9666;35635,20068;34766,69388;38729,27127;38274,9167;34442,73624;36811,71012;39297,45209;39014,8283;38823,70184;37834,22159;37716,33519;27022,0152;21616,76141;21793,14818;19480,24628;14529,104;7332,722154
81;2008;;;10339,77035;9775,234906;10745,20644;10498,97085;10683,38467;10108,45624;10984,79263;9856,973842;9143,638669;8276,429568;9004,752081;9212,308354;10250,35104;10710,27381;12115,20887;12571,1356;12655,82733;13248,81661;12841,74023;13435,12125;12479,22961;13187,39824;12512,6756;13274,87203;9894,590664;10704,83377;8155,482033;9585,565902;8626,170698;10182,00838;7625,165695;10310,51023;5495,483205;8499,367626;2382,749567;4201,199926;222,3251815;862,7126764;0;20115,00526;21244,17729;20791,84091;20841,76647;17420,06824;18217,06044;20960,62485;24686,34447;25904,64394;26276,86148;25666,62785;25787,54763;20599,42443;17741,04794;18808,17908;17935,67593;13994,85083;7668,987351
82;2008;;;7070,542949;7006,495846;7397,108676;7091,307977;7290,393966;6633,956195;6735,750406;6232,485759;5621,373836;5503,642471;5938,385319;6275,381182;7210,778537;7546,516709;8002,19653;8214,441201;8531,598221;8218,643044;8275,125412;8499,366371;8028,670457;8056,18111;7985,203266;7988,740998;6208,741707;6552,815962;4846,177251;5647,558227;4787,157704;5491,470136;4181,068858;5601,65137;3010,26875;4653,018554;1227,661088;2468,827526;111,931742;434,7237297;0;14077,0388;14488,41665;13924,35016;12968,23617;11125,01631;12213,7665;14757,29525;16216,63773;16750,24127;16774,49178;16084,85157;15973,94426;12761,55767;10493,73548;10278,62784;9782,720228;7663,287304;4243,144086
83;2008;;;26704,18586;25241,16646;29005,43972;27748,40385;29164,79907;27841,02057;29285,5363;27591,8479;26624,33654;24604,40852;25305,81398;25284,61431;27855,19445;28526,47181;32027,79655;34360,24516;34191,53141;36518,73288;32422,77973;35152,56396;31906,84952;34539,66112;32834,44418;36769,82549;30641,10001;33698,54061;25504,61618;28140,24769;22935,88801;27220,92749;18708,32972;25239,62987;12142,01209;20087,96462;5607,135134;10773,18742;460,3323055;2117,165445;0;51945,35232;56753,84357;57005,81964;56877,3842;51228,74506;50590,42829;56381,66626;66388,04171;70710,26429;67575,34369;66446,51064;69604,26967;64339,64062;53644,86387;50156,8155;43947,95959;32229,97671;18957,8203
84;2008;;;16587,69264;16007,8323;17121,52418;16301,45205;17288,91494;16305,12824;17176,36602;16332,58504;14507,58737;14822,56694;14839,27812;15404,52056;15913,80867;16469,03226;18289,59223;19190,79281;18836,09088;19975,02787;17476,34809;19193,69301;17436,25426;18969,66537;17347,55254;18852,28591;14978,28229;15750,61059;11457,97077;12473,31898;10019,73281;12815,44127;8278,391174;11715,64121;5362,946664;9126,004039;2365,387676;4842,598979;210,8767906;849,62771;0;32595,52494;33422,97623;33594,04318;33508,95106;29330,15431;30243,79868;32382,84093;37480,38504;38811,11875;36670,0411;36405,91963;36199,83845;30728,89288;23931,28975;22835,17408;19994,03238;14488,9507;8268,491156
85;2008;;;19819,3998;19156,65816;19316,15727;18192,10448;17730,18709;17201,24007;17610,75011;15908,32065;16347,56931;14705,3976;17773,33259;17017,31342;19338,38212;18965,00004;20663,57841;20430,46069;20949,39266;21022,22333;21084,92533;20966,67759;20514,71022;20283,50573;21706,8472;22183,07557;16393,55806;17625,32422;14116,56317;15450,52559;13566,66338;15987,95498;10440,90659;14157,05418;7016,95116;11537,37063;2705,898496;5625,308848;186,1071856;1078,671914;0;38976,05796;37508,26175;34931,42716;33519,07076;31052,96691;34790,64601;38303,38216;41094,0391;41971,61599;42051,60292;40798,21595;43889,92277;34018,88228;29567,08876;29554,61836;24597,96077;18554,32179;9595,986444
86;2008;;;12169,68434;11617,76356;12255,65675;12178,77818;12091,2321;11721,93724;14300,37845;14694,9366;15083,84415;15517,11345;12434,43806;12763,013;12446,04183;12700,95177;13533,75151;14268,03117;13989,65026;13857,01255;14176,76341;14724,0208;14007,07131;14654,85978;13926,65911;14080,71316;10252,80314;10949,22371;8481,317718;9201,509982;8303,146794;9796,25566;6886,041016;9261,244432;4789,283294;7743,125083;2019,512556;3905,381766;217,2764918;870,360532;0;23787,4479;24434,43493;23813,16934;28995,31505;30600,9576;25197,45106;25146,9936;27801,78268;27846,66281;28900,78421;28661,93109;28007,37227;21202,02685;17682,8277;18099,40245;16147,28545;12532,40838;7012,531346
87;2008;;;9834,487265;9437,742766;9867,75921;9200,727402;9738,052573;9395,633636;10821,56828;11006,23765;11419,74142;11714,59215;10480,41441;10400,00351;11004,99205;11387,82044;11961,02194;12114,12298;12074,65619;12362,85342;12258,9593;13022,18096;13171,68883;13415,7165;13284,32802;14069,38811;9829,512863;10584,046;7889,066327;8917,255452;7937,811097;10113,08383;6863,191965;9725,77016;4728,416618;8099,076734;2158,218598;4336,131136;204,8863841;940,5892173;0;19272,23003;19068,48661;19133,68621;21827,80593;23134,33357;20880,41792;22392,81249;24075,14492;24437,50961;25281,14026;26587,40533;27353,71613;20413,55886;16806,32178;18050,89493;16588,96213;12827,49335;7639,825335
88;2008;;;11080,07317;10905,06858;11706,1802;11270,71866;11851,87672;11094,20026;11627,84494;10939,69917;10739,38342;9604,24065;10184,4318;10267,96757;11354,73995;11291,27844;12607,05226;12446,7128;13519,54898;13633,63944;13390,14925;13691,19412;13534,94593;13564,19576;14180,56952;13780,27947;9204,534032;10090,10256;7939,714106;8741,634522;7371,083118;9723,57517;5844,749374;9537,948154;3653,032373;7222,04661;1455,064161;3699,816665;147,1617928;692,9227247;0;21985,14175;22976,89886;22946,07698;22567,54411;20343,62407;20452,39937;22646,01839;25053,76506;27153,18842;27081,34337;27099,14169;27960,84899;19294,63659;16681,34863;17094,65829;15382,69753;10875,07898;5994,965344
89;2008;;;10264,61644;9756,440428;10680,49341;10151,19535;10339,54351;9724,969019;9976,68643;9291,717792;8356,580567;8157,607932;8943,352517;9317,677209;10177,68099;10058,40629;11476,92918;11374,64729;11672,89479;11660,55246;11456,0131;11873,3505;12107,15114;11878,99391;12599,21564;12796,42726;9064,546494;9093,059811;7537,706622;8073,076288;6987,916589;8729,14697;6046,59556;8330,998873;4263,335512;7022,751959;1765,812827;3604,179956;177,0978286;752,1465854;0;20021,05687;20831,68876;20064,51253;19268,40422;16514,1885;18261,02973;20236,08728;22851,57647;23333,44725;23329,3636;23986,14505;25395,6429;18157,60631;15610,78291;15717,06356;14377,59443;11286,08747;6299,237197
90;2008;;;4452,348451;4399,495185;4532,168191;4126,742457;4478,349263;4228,833136;4997,671781;4395,904014;5747,883514;4406,935891;4751,770442;4332,993474;4809,703439;4582,729636;5038,63947;4776,19455;5106,102475;4864,698468;4828,941693;4959,317175;4637,43621;5008,459492;4720,373426;4715,341343;3428,442;3436,351771;2588,27829;2948,216852;2304,783884;2940,939135;1818,912753;2835,796954;1156,137672;2261,072297;427,5746003;1078,82817;44,92646415;174,8515635;0;8851,843636;8658,910648;8707,182399;9393,575795;10154,81941;9084,763916;9392,433075;9814,83402;9970,800943;9788,258868;9645,895702;9435,714769;6864,793771;5536,495142;5245,723019;4654,709707;3417,209969;1726,180798
91;2008;;;43044,77742;41377,21625;42611,0163;40722,64491;41398,37054;39524,41942;41480,47686;39822,4585;41174,20598;39412,09172;40255,97584;40963,39874;43107,54849;42857,93195;43858,17268;45322,09609;45267,24035;46434,07794;42485,92077;43530,06775;37845,0617;39569,72488;36116,46892;37917,52993;26162,0919;26713,77981;19176,0781;21170,23488;16567,60284;20053,32604;12172,58154;17341,87875;7119,888669;12653,26017;2899,120941;6918,647284;308,2300221;1627,779474;0;84421,99367;83333,66121;80922,78996;81302,93536;80586,2977;81219,37458;85965,48044;89180,26877;91701,31829;86015,98852;77414,78658;74033,99885;52875,87171;40346,31298;36620,92888;29514,46029;19773,14884;11753,77772
92;2008;;;55122,28316;53415,22121;49745,51715;48227,17281;45319,07527;43327,55674;45380,53662;44600,98709;50255,63429;54332,98021;61455,98725;65589,90439;64683,79267;65749,50395;60249,29831;62808,70185;54638,97416;58876,5153;48027,57451;53172,75561;42699,76487;49403,58162;43263,8214;47709,52224;31351,51171;34144,0264;22128,68519;26221,8075;19203,19201;26659,81489;16830,05859;26308,2957;11387,88118;22142,39635;4768,154122;11849,60588;581,5970332;2390,599966;0;108537,5044;97972,68996;88646,63201;89981,52371;104588,6145;127045,8916;130433,2966;123058,0002;113515,4895;101200,3301;92103,34649;90973,34364;65495,53811;48350,49269;45863,0069;43138,35429;33530,27753;19589,957
93;2008;;;61358,20765;59108,7041;55288,25776;52156,41665;50502,29411;48522,1981;52524,49726;51925,49461;53182,656;57107,32134;56236,17559;61007,61082;57275,13452;58167,43165;55384,21211;55913,35821;53748,90327;54561,05115;49106,97634;51565,27855;45652,86527;48737,30858;44167,94604;42701,27418;28772,55753;27065,85616;20695,73986;21850,45419;17515,34022;22273,06007;12950,15652;19749,61568;7640,847297;14326,89601;2984,189356;7111,495313;489,6235686;1313,764107;0;120466,9118;107444,6744;99024,49221;104449,9919;110289,9773;117243,7864;115442,5662;111297,5703;108309,9544;100672,2549;94390,17385;86869,22022;55838,41369;42546,19405;39788,40029;32699,7722;21967,74331;11899,07234
94;2008;;;46065,42231;44088,18455;42719,47425;40283,90212;40674,66647;38631,55158;42259,36503;41383,20296;44220,68482;47079,79798;46993,04976;51004,70791;49159,45223;51189,02199;49084,65959;49935,79678;47244,01647;49465,26628;43499,23978;46586,01882;39721,33878;43270,88285;38048,16754;41412,8819;27038,51906;28196,98131;19283,39552;23269,99552;16681,09789;22889,51328;13636,99481;21507,98074;8749,185655;17234,00059;3691,439085;8753,313009;434,8831999;1832,212007;0;90153,60686;83003,37637;79306,21805;83642,56799;91300,4828;97997,75767;100348,4742;99020,45637;96709,28275;90085,2586;82992,22163;79461,04944;55235,50037;42553,39104;39570,61117;35144,97555;25983,18625;14711,8473
