Age,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_64,29899,30492,30693,30700,30403,32298,34599,35841,35591,35456,45188,42315,39579,38408,37004,36359,37175,37294,36194,37043
Y_65,29114,29739,30265,30507,30441,30076,32012,34322,35593,35257,35094,44913,42031,39388,38172,36792,36200,37050,37150,35963
Y_66,28557,28838,29429,29973,30172,30117,29743,31693,33904,35281,34868,34760,44519,41725,39064,37876,36473,35945,36847,36860
Y_67,27378,28211,28497,29137,29553,29807,29718,29389,31317,33491,34899,34519,34367,44101,41353,38737,37532,36198,35633,36521
Y_68,27059,27049,27833,28073,28693,29103,29305,29271,28916,30921,33026,34476,34120,33963,43589,40898,38309,37094,35852,35274
Y_69,26660,26582,26616,27415,27636,28155,28670,28833,28778,28463,30449,32544,33960,33656,33508,43142,40388,37896,36660,35337
Y_70,26678,26170,26099,26139,26943,27172,27637,28244,28347,28266,27909,29955,32002,33405,33171,32921,42537,39823,37348,36085
Y_71,26057,26047,25641,25562,25595,26373,26573,27049,27686,27815,27661,27366,29410,31439,32761,32558,32377,41866,39168,36763
Y_72,25040,25339,25342,25002,24899,25034,25762,26034,26405,27121,27254,27046,26795,28833,30795,32123,31929,31750,41091,38414
Y_73,23801,24289,24656,24608,24334,24266,24423,25182,25384,25744,26539,26647,26384,26204,28164,30125,31450,31237,31145,40215
Y_74,24040,23035,23426,23821,23796,23601,23659,23798,24556,24693,25004,25914,25905,25734,25520,27464,29427,30676,30534,30409
Y_75,23908,23081,22204,22565,22925,23023,22864,22991,23102,23855,24033,24312,25147,25203,24985,24758,26743,28623,29891,29648
Y_76,22828,22898,22071,21273,21655,22081,22152,22115,22258,22338,23107,23288,23513,24403,24416,24262,24035,25921,27803,29027
Y_77,21694,21719,21813,21044,20367,20758,21133,21291,21299,21439,21537,22290,22515,22708,23476,23605,23410,23232,25095,26843
Y_78,20640,20504,20611,20771,19998,19430,19808,20225,20344,20473,20655,20736,21369,21716,21840,22570,22663,22509,22394,24133
Y_79,20670,19495,19282,19465,19663,18953,18488,18820,19255,19429,19584,19792,19858,20579,20724,20945,21606,21714,21602,21372
Y_80,19889,19483,18316,18100,18329,18502,17872,17503,17787,18309,18458,18579,18840,18969,19561,19720,20013,20577,20742,20571
Y_81,18260,18527,18153,17081,16874,17163,17353,16820,16540,16768,17280,17469,17534,17919,17951,18509,18684,18976,19518,19640
Y_82,13563,16876,17101,16786,15817,15707,15950,16120,15670,15524,15765,16253,16375,16556,16860,16996,17386,17656,17891,18385
Y_83,10955,12560,15466,15723,15436,14600,14530,14752,14865,14653,14446,14739,15120,15336,15399,15797,15896,16203,16566,16646
Y_84,10598,9918,11549,14077,14302,14147,13362,13348,13456,13681,13494,13348,13568,14044,14163,14204,14634,14629,15052,15324
Y_85,9714,9513,8892,10537,12647,12921,12839,12053,12137,12226,12432,12297,12190,12412,12854,13011,13032,13379,13470,13684
Y_86,9070,8656,8453,7888,9507,11356,11560,11467,10847,10881,11084,11240,11084,11081,11156,11673,11802,11828,12170,12208
Y_87,7946,8010,7648,7406,6947,8553,10016,10232,10143,9658,9735,9911,9992,10013,9828,9990,10461,10588,10672,10894
Y_88,6665,6915,6903,6633,6411,6026,7646,8732,8932,8936,8437,8672,8742,8844,8805,8676,8951,9238,9449,9429
Y_89,5647,5707,5850,5839,5650,5528,5184,6820,7523,7776,7765,7389,7486,7691,7596,7684,7567,7702,8117,8185
Y_OPEN,19610,20129,20430,20911,21162,21491,21615,21297,22553,24257,25878,27423,27804,28825,29062,29601,29764,29683,30516,30760
